Total Segs 8911: Date 2026-02-04!
Total Segs 8523: Date 2026-02-05!
Total Segs -9000: Date 2026-02-07!
Total Segs -18000: Date 2026-02-07!
Total Segs 0: Date 2026-02-07!
Total Segs -3000: Date 2026-02-07!
Total Segs 0: Date 2026-02-10!
Total Segs 0: Date 2026-02-10!
Total Segs 0: Date 2026-02-11!
Total Segs -1500: Date 2026-02-11!
Total Segs -6000: Date 2026-02-13!
Total Segs 0: Date 2026-02-13!
Total Segs -3000: Date 2026-02-13!
Total Segs 0: Date 2026-02-13!
Total Segs -6000: Date 2026-02-13!
Total Segs -9000: Date 2026-02-14!
